model, tpb, share, nx, tavg
tHeatS.csv,1024,60,500000,24.2357
tHeatS.csv,1024,70,1000000,47.1449
tHeatS.csv,1024,10,5000000,234.6024
tHeatS.csv,1024,5,10000000,468.5581
tEulerC.csv,1024,60,500000,2418.5756
tEulerC.csv,1024,45,1000000,4566.6663
tEulerC.csv,96,90,5000000,42433.0213
tEulerC.csv,1024,90,10000000,84726.2035
tHeatC.csv,512,75,500000,155.8920
tHeatC.csv,64,45,1000000,195.4560
tHeatC.csv,1024,100,5000000,542.0895
tHeatC.csv,1024,100,10000000,7794.0781
tEulerS.csv,1024,45,500000,2116.3514
tEulerS.csv,1024,80,1000000,4211.4872
tEulerS.csv,1024,50,5000000,21340.1979
tEulerS.csv,1024,60,10000000,42655.2380
